str_column,count,mean,min,25%,50%,75%,max,std
loan_id,25308.0,12495.624822190612,1.0,6244.75,12492.5,18744.25,25000.0,7215.720430739996
origination_date,25308,2023-06-28 13:43:53.854907648,2022-01-01 00:00:00,2022-09-26 00:00:00,2023-06-27 00:00:00,2024-03-26 00:00:00,2024-12-28 00:00:00,
loan_amount,25308.0,5465.5709657025445,700.0,3490.0,4890.0,6900.0,49930.0,3124.8476006592728
term_months,25308.0,19.026078710289237,0.0,12.0,18.0,24.0,84.0,9.6446418683192
employment_length_years,24638.0,5.823460508158129,-1.0,2.33,5.07,7.87,68.54,6.760674620773065
stated_income,24857.0,6015.823832320875,111.0,3288.0,4965.0,7424.0,100000.0,4588.827435960929
has_prior_loans_with_us,25308.0,0.30409356725146197,0.0,0.0,0.0,1.0,1.0,0.460031555164916
bureau_score,24765.0,629.7145164546739,300.0,589.0,630.0,671.0,900.0,66.57842827513099
open_trades,24923.0,2.2073185411066083,0.0,1.0,2.0,3.0,17.0,1.7304722913411579
delinq_12m,25055.0,0.3650768309718619,0.0,0.0,0.0,1.0,6.0,0.623302907912028
utilization,25055.0,0.3744282578327679,0.0,0.23,0.34,0.48,1.5,0.21106903868474167
inquiries_6m,25069.0,1.8832422513861742,0.0,1.0,2.0,3.0,11.0,1.553924730342016
public_records,25308.0,0.28453453453453453,0.0,0.0,0.0,0.0,3.0,0.5408973230911676
default_12m,25308.0,0.18681839734471314,0.0,0.0,0.0,0.0,1.0,0.3897733786870078
charged_off_amount,25308.0,671.3020910384068,-5211.82,0.0,0.0,0.0,8996.43,1625.093778535796
paid_interest_amount,25308.0,1221.1323858068595,-4729.36,561.1675,972.55,1605.3600000000001,8749.84,948.0306006562673
apr,25144.0,0.18221571746738782,0.0,0.15,0.162,0.199,0.333,0.04759812341470403
